,population,city,province,# restaurants,restaurants per capita,population per restaurant,restaurants per 10k people,"city, state"
328,92590.0,Redding,CA,7,7.560211685927205e-05,13227.142857142857,0.7560211685927206,"Redding, CA"
329,92314.0,Bellingham,WA,9,9.749333795523973e-05,10257.111111111111,0.9749333795523972,"Bellingham, WA"
330,92108.0,Suffolk,VA,11,0.00011942502279932253,8373.454545454546,1.1942502279932252,"Suffolk, VA"
331,91765.0,Indio,CA,5,5.448700484934343e-05,18353.0,0.5448700484934342,"Indio, CA"
332,91684.0,Mount Pleasant,SC,13,0.0001417913703590594,7052.615384615385,1.4179137035905938,"Mount Pleasant, SC"
333,91394.0,Carson,CA,8,8.753309845285248e-05,11424.25,0.8753309845285249,"Carson, CA"
334,91364.0,Santa Barbara,CA,3,3.283569020620813e-05,30454.666666666668,0.32835690206208135,"Santa Barbara, CA"
335,91079.0,Conroe,TX,11,0.00012077427288397984,8279.90909090909,1.2077427288397984,"Conroe, TX"
336,90643.0,Westminster,CA,6,6.619374910362632e-05,15107.166666666666,0.6619374910362632,"Westminster, CA"
337,90401.0,Santa Monica,CA,4,4.424729814935676e-05,22600.25,0.4424729814935675,"Santa Monica, CA"
338,90209.0,New Braunfels,TX,11,0.00012193905264441464,8200.818181818182,1.2193905264441465,"New Braunfels, TX"
339,90189.0,Livermore,CA,7,7.761478672565391e-05,12884.142857142857,0.7761478672565391,"Livermore, CA"
340,89541.0,Fall River,MA,3,3.35042047776996e-05,29847.0,0.335042047776996,"Fall River, MA"
341,89355.0,Nashua,NH,10,0.00011191315539141626,8935.5,1.1191315539141626,"Nashua, NH"
342,88909.0,Champaign,IL,11,0.0001237220078957136,8082.636363636364,1.237220078957136,"Champaign, IL"
343,88885.0,Miami Beach,FL,7,7.875344546323902e-05,12697.857142857143,0.7875344546323901,"Miami Beach, FL"
344,88816.0,Norwalk,CT,6,6.755539542424788e-05,14802.666666666666,0.6755539542424788,"Norwalk, CT"
345,88815.0,San Leandro,CA,9,0.00010133423408208073,9868.333333333334,1.013342340820807,"San Leandro, CA"
